run_id,epoch,train_loss,epoch_time_s,lr_current,is_best,val_ap,val_roc_auc,val_f1,val_balanced_acc,val_precision,val_recall,val_threshold,val_tn,val_fp,val_fn,val_tp
run_20260324_063520_baseline,1,0.332216,2.15,0.0003,1,0.5364285714285715,0.930976430976431,0.7,0.8585858585858586,0.6363636363636364,0.7777777777777778,0.9397278428077698,62.0,4.0,2.0,7.0
run_20260324_063520_baseline,2,0.160679,1.71,0.0002962391868272735,0,0.39403195139629243,0.8333333333333333,0.4444444444444444,0.8005050505050505,0.2962962962962963,0.8888888888888888,0.29629871249198914,47.0,19.0,1.0,8.0
run_20260324_063520_baseline,3,0.148828,1.76,0.0002851453301853628,1,0.6644884517691536,0.9276094276094277,0.6,0.9090909090909092,0.42857142857142855,1.0,0.19044490158557892,54.0,12.0,0.0,9.0
run_20260324_063520_baseline,4,0.092597,1.68,0.00026727472237020447,0,0.481651104886399,0.9023569023569024,0.6,0.7954545454545454,0.5454545454545454,0.6666666666666666,0.3987273871898651,61.0,5.0,3.0,6.0
run_20260324_063520_baseline,5,0.034571,1.64,0.00024352347027881003,1,0.7833672500339168,0.9696969696969696,0.75,0.9545454545454546,0.6,1.0,0.30716124176979065,60.0,6.0,0.0,9.0
run_20260324_063520_baseline,6,0.039252,1.75,0.00021508256086763368,0,0.4308829242652772,0.8232323232323231,0.5,0.8308080808080808,0.34782608695652173,0.8888888888888888,0.021591197699308395,51.0,15.0,1.0,8.0
run_20260324_063520_baseline,7,0.03653,1.69,0.00018337814009344714,0,0.6932137106050149,0.9377104377104377,0.6666666666666666,0.8106060606060606,0.6666666666666666,0.6666666666666666,0.806309163570404,63.0,3.0,3.0,6.0
run_20260324_063520_baseline,8,0.036347,1.66,0.00015,0,0.6578389174128842,0.9208754208754208,0.5555555555555556,0.7474747474747475,0.5555555555555556,0.5555555555555556,0.4252466559410095,62.0,4.0,4.0,5.0
run_20260324_063520_baseline,9,0.022168,1.68,0.00011662185990655284,0,0.6501397177228381,0.9057239057239057,0.625,0.7626262626262627,0.7142857142857143,0.5555555555555556,0.7524232268333435,64.0,2.0,4.0,5.0
run_20260324_063520_baseline,10,0.021877,1.71,8.491743913236628e-05,0,0.5732493432493433,0.8838383838383839,0.5217391304347826,0.7727272727272727,0.42857142857142855,0.6666666666666666,0.11788221448659897,58.0,8.0,3.0,6.0
run_20260324_065202_baseline-lr1e-4,1,0.415164,2.14,0.0001,1,0.47242804945232036,0.8333333333333333,0.5454545454545454,0.7803030303030303,0.46153846153846156,0.6666666666666666,0.9003505110740662,59.0,7.0,3.0,6.0
run_20260324_065202_baseline-lr1e-4,2,0.152339,1.55,9.874639560909117e-05,1,0.6496693121693122,0.9494949494949495,0.6923076923076923,0.9393939393939394,0.5294117647058824,1.0,0.48217764496803284,58.0,8.0,0.0,9.0
run_20260324_065202_baseline-lr1e-4,3,0.079668,1.63,9.504844339512095e-05,1,0.8433723196881093,0.962962962962963,0.75,0.8257575757575757,0.8571428571428571,0.6666666666666666,0.47923994064331055,65.0,1.0,3.0,6.0
run_20260324_065202_baseline-lr1e-4,4,0.073906,1.6,8.90915741234015e-05,0,0.7193118184497496,0.9326599326599327,0.64,0.8838383838383839,0.5,0.8888888888888888,0.3205767869949341,58.0,8.0,1.0,8.0
