run_id,run_note,tag,seed,timestamp_start,timestamp_end,duration_s,n_train_patients,n_val_patients,n_test_patients,n_train_slices,n_val_slices,n_test_slices,hgg_train,lgg_train,epochs_planned,epochs_actual,best_epoch,best_val_ap,best_val_f1,best_val_balanced_acc,best_val_precision,best_val_recall,best_val_threshold,best_model_path,topk,context_slices,out_hw,norm_mode,add_tumor_mask_channel,bbox_margin,min_bbox_size,epochs_cfg,lr,weight_decay,loss_type,amp,grad_clip,focal_gamma,max_lgg_weight,use_cosine,warmup_epochs,early_stop_patience,patient_agg,device,gpu_name,n_workers,data_fingerprint
run_20260324_063520_baseline,baseline — default hyperparameters,baseline,42,2026-03-24T06:35:20.158878,2026-03-24T06:36:16.800500,57.51,345,75,75,9945,2156,2170,306,39,15,10.0,5.0,0.7833672500339168,0.75,0.9545454545454546,0.6,1.0,0.3071612417697906,/content/Reports/best_models/run_20260324_063520_baseline.pt,24,2,"(256, 256)",robust_z,False,24,32,15,0.0003,0.0001,weighted_ce,True,1.0,2.0,8.0,True,1,5,mean,cuda,NVIDIA GeForce RTX 5070 Ti,8,2f0dce88c4a8
run_20260324_065202_baseline-lr1e-4,baseline —  low lr,baseline-lr1e-4,42,2026-03-24T06:52:02.024260,2026-03-24T06:52:35.531247,33.71,345,75,75,9945,2156,2170,306,39,15,8.0,3.0,0.8433723196881093,0.75,0.8257575757575757,0.8571428571428571,0.6666666666666666,0.4792399406433105,/content/Reports/best_models/run_20260324_065202_baseline-lr1e-4.pt,24,2,"(256, 256)",robust_z,False,24,32,15,0.0001,0.0001,weighted_ce,True,1.0,2.0,8.0,True,1,5,mean,cuda,NVIDIA GeForce RTX 5070 Ti,8,2f0dce88c4a8
run_20260324_072345_no-early-stop,no early stop with 20 epochs,no-early-stop,42,2026-03-24T07:23:45.759190,2026-03-24T07:26:54.700577,193.02,345,75,75,9945,2156,2170,306,39,20,20.0,3.0,0.8047836221749267,0.6956521739130435,0.898989898989899,0.5714285714285714,0.8888888888888888,0.3561181128025055,/content/Reports/best_models/run_20260324_072345_no-early-stop.pt,24,2,"(256, 256)",robust_z,False,24,32,20,0.0001,0.0001,weighted_ce,True,1.0,2.0,8.0,True,1,999,mean,cuda,NVIDIA GeForce RTX 5070 Ti,8,2f0dce88c4a8
run_20260324_080653_no-early-stop,no early stop with 20 epochs,no-early-stop,42,2026-03-24T08:06:53.162363,2026-03-24T08:14:28.942466,467.56,345,75,75,9945,2156,2170,306,39,20,20.0,3.0,0.8361952861952864,0.7272727272727273,0.9065656565656566,0.6153846153846154,0.8888888888888888,0.4309543669223785,/content/Reports/best_models/run_20260324_080653_no-early-stop.pt,24,2,"(256, 256)",robust_z,False,24,32,20,0.0003,0.0001,weighted_ce,True,1.0,2.0,8.0,True,1,999,mean,cuda,NVIDIA GeForce RTX 5070 Ti,8,2f0dce88c4a8
run_20260324_082102_no-stop,no stop high lr,no-stop,42,2026-03-24T08:21:02.777676,2026-03-24T08:23:30.517655,151.24,345,75,75,9945,2156,2170,306,39,20,20.0,14.0,0.8434925698083593,0.7619047619047619,0.914141414141414,0.6666666666666666,0.8888888888888888,0.7045745849609375,/content/Reports/best_models/run_20260324_082102_no-stop.pt,24,2,"(256, 256)",robust_z,False,24,32,20,0.03,0.0001,weighted_ce,True,1.0,2.0,8.0,True,1,999,mean,cuda,NVIDIA GeForce RTX 5070 Ti,8,2f0dce88c4a8
run_20260324_084811_mask,with mask,mask,42,2026-03-24T08:48:11.258087,2026-03-24T09:16:30.295576,1745.5,345,75,75,9945,2156,2170,306,39,20,9.0,4.0,0.9115961199294532,0.8421052631578947,0.9292929292929292,0.8,0.8888888888888888,0.7365718483924866,/content/Reports/best_models/run_20260324_084811_mask.pt,24,2,"(256, 256)",robust_z,True,24,32,20,0.03,0.0001,weighted_ce,True,1.0,2.0,8.0,True,1,5,mean,cuda,NVIDIA GeForce RTX 5070 Ti,8,2f0dce88c4a8
run_20260324_093348_224-mask,224x224 with mask,224+mask,42,2026-03-24T09:33:48.775815,2026-03-24T09:56:01.405255,1369.91,345,75,75,9945,2156,2170,306,39,20,8.0,3.0,0.9467813051146384,0.9,0.9848484848484848,0.8181818181818182,1.0,0.8945005536079407,/content/Reports/best_models/run_20260324_093348_224-mask.pt,24,2,"(224, 224)",robust_z,True,24,32,20,0.03,0.0001,weighted_ce,True,1.0,2.0,8.0,True,1,5,mean,cuda,NVIDIA GeForce RTX 5070 Ti,8,2f0dce88c4a8
run_20260324_192126_top32k,224x224 with top32k,top32k,42,2026-03-24T19:21:26.222062,2026-03-24T19:22:05.062515,40.57,345,75,75,12732,2773,2773,306,39,20,8.0,3.0,0.3459744305943136,0.4375,0.7676767676767677,0.3043478260869565,0.7777777777777778,0.794665515422821,/content/Reports/best_models/run_20260324_192126_top32k.pt,32,2,"(224, 224)",robust_z,False,24,32,20,0.03,0.0001,weighted_ce,True,1.0,2.0,8.0,True,1,5,mean,cuda,NVIDIA GeForce RTX 5070 Ti,8,2f0dce88c4a8
run_20260324_195541_top32k,top32k,top32k,42,2026-03-24T19:55:41.898829,2026-03-24T20:21:23.401011,1603.82,345,75,75,12732,2773,2773,306,39,20,16.0,11.0,0.9888888888888888,0.9,0.9848484848484848,0.8181818181818182,1.0,0.9421839118003844,/content/Reports/best_models/run_20260324_195541_top32k.pt,32,2,"(256, 256)",robust_z,False,24,32,20,0.03,0.0001,weighted_ce,True,1.0,2.0,8.0,True,1,5,mean,cuda,NVIDIA GeForce RTX 5070 Ti,8,2f0dce88c4a8
run_20260324_205123_top32k,top32k focal,top32k,42,2026-03-24T20:51:23.479998,2026-03-24T21:32:35.321747,2574.79,345,75,75,12732,2773,2773,306,39,20,16.0,11.0,0.8969496552829888,0.8571428571428571,0.9772727272727272,0.75,1.0,0.681505024433136,/content/Reports/best_models/run_20260324_205123_top32k.pt,32,2,"(224, 224)",robust_z,True,24,32,20,0.003,0.0001,focal,True,1.0,2.0,8.0,True,1,5,mean,cuda,NVIDIA GeForce RTX 5070 Ti,8,2f0dce88c4a8
